x,y_obs,weight,y_calc,y_bkg,Q
46.2153,0.31875,1,0.303596,0.301847,3.20143
46.2355,0.292708,1,0.303559,0.301806,3.20275
46.2558,0.283333,1,0.303522,0.301765,3.20408
46.276,0.341667,1,0.303486,0.301724,3.2054
46.2962,0.298958,1,0.30345,0.301684,3.20672
46.3165,0.313542,1,0.303415,0.301644,3.20805
46.3367,0.302083,1,0.30338,0.301605,3.20937
46.3569,0.325,1,0.303346,0.301566,3.2107
46.3771,0.316667,1,0.303312,0.301528,3.21202
46.3974,0.307292,1,0.303279,0.30149,3.21334
46.4176,0.310417,1,0.303246,0.301453,3.21467
46.4378,0.330208,1,0.303214,0.301416,3.21599
46.458,0.304167,1,0.303183,0.301379,3.21731
46.4783,0.286458,1,0.303152,0.301343,3.21863
46.4985,0.283333,1,0.303121,0.301308,3.21996
46.5187,0.307292,1,0.303091,0.301272,3.22128
46.5389,0.311458,1,0.303062,0.301238,3.2226
46.5592,0.304167,1,0.303033,0.301203,3.22393
46.5794,0.269792,1,0.303005,0.301169,3.22525
46.5996,0.275,1,0.302977,0.301136,3.22657
46.6198,0.3,1,0.302949,0.301103,3.22789
46.6401,0.314583,1,0.302923,0.301071,3.22922
46.6603,0.34375,1,0.302896,0.301039,3.23054
46.6805,0.335417,1,0.302871,0.301007,3.23186
46.7007,0.322917,1,0.302846,0.300976,3.23318
46.721,0.289583,1,0.302821,0.300945,3.2345
46.7412,0.328125,1,0.302797,0.300915,3.23583
46.7614,0.304167,1,0.302774,0.300885,3.23715
46.7816,0.335417,1,0.302751,0.300856,3.23847
46.8019,0.319792,1,0.302728,0.300827,3.23979
46.8221,0.314583,1,0.302706,0.300798,3.24111
46.8423,0.325,1,0.302685,0.30077,3.24243
46.8626,0.320833,1,0.302664,0.300742,3.24375
46.8828,0.335417,1,0.302644,0.300715,3.24507
46.903,0.34375,1,0.302624,0.300688,3.2464
46.9232,0.340625,1,0.302605,0.300662,3.24772
46.9435,0.342708,1,0.302587,0.300636,3.24904
46.9637,0.31875,1,0.302569,0.300611,3.25036
46.9839,0.353125,1,0.302551,0.300586,3.25168
47.0041,0.34375,1,0.302534,0.300561,3.253
47.0244,0.308333,1,0.302518,0.300537,3.25432
47.0446,0.329167,1,0.302502,0.300514,3.25564
47.0648,0.290625,1,0.302487,0.30049,3.25696
47.085,0.333333,1,0.302472,0.300468,3.25828
47.1053,0.33125,1,0.302458,0.300445,3.2596
47.1255,0.330208,1,0.302444,0.300423,3.26092
47.1457,0.354167,1,0.302431,0.300402,3.26224
47.1659,0.360417,1,0.302418,0.300381,3.26356
47.1862,0.355208,1,0.302407,0.30036,3.26488
47.2064,0.316667,1,0.302395,0.30034,3.2662
47.2266,0.292708,1,0.302384,0.300321,3.26752
47.2468,0.338542,1,0.302374,0.300301,3.26884
47.2671,0.321875,1,0.302364,0.300282,3.27016
